name,cluster,origin
Czechoslovak,Czechoslovak,slavic
Tchécoslovaque,Czechoslovak,slavic
Milošević,Milosevic,slavic
Милошевић,Milosevic,slavic
Milosevic,Milosevic,slavic
Milosevitch,Milosevic,slavic
Milosévitch,Milosevic,slavic
Ђинђић,Dindic,slavic
Dindic,Dindic,slavic
Djindjić,Dindic,slavic
Djindjic,Dindic,slavic
Tchekov,Tchekov,slavic
Chekhow,Tchekov,slavic
Tchekof,Tchekov,slavic
Tchekoff,Tchekov,slavic
Chekkoph,Tchekov,slavic
čekov,Tchekov,slavic
Dzhugashvili,Djougachvili,slavic
Djougachvili,Djougachvili,slavic
Dzhougachvili,Djougachvili,slavic
Jughashvilli,Djougachvili,slavic
Dimitrij,Dimitri,slavic
Dimitri,Dimitri,slavic
Dimitry,Dimitri,slavic
Dimitriy,Dimitri,slavic
Dmitri,Dimitri,slavic
D\'mitr,Dimitri,slavic
Dmitr,Dimitri,slavic
Dmytro,Dimitri,slavic
Alexei,Alexis,greek
Алексей,Alexis,greek
Alexeï,Alexis,greek
Alexis,Alexis,greek
Alexi,Alexis,greek
Aleixys,Alexis,greek
Алекси,Alexis,greek
Aleksi,Alexis,greek
Alejo,Alexis,greek
Αλέξης,Alexis,greek
Αλέξιος,Alexis,greek
Alexios,Alexis,greek
Alessio,Alexis,greek
Aléssi,Alexis,greek
Aleixo,Alexis,greek
Oleksiï,Alexis,greek
Олексiй,Alexis,greek
Sergei,Serge,latin,
Serge,Serge,latin
Sergey,Serge,latin
Sergeï,Serge,latin
Sergeiy,Serge,latin
Ekaterina,Catherine,greek
Yekaterina,Catherine,greek
Catherine,Catherine,greek
Katherin,Catherine,greek
Kathryn,Catherine,greek
Jekaterina,Catherine,greek
Catrin,Catherine,greek
Moussorgsky,Moussorgsky,slavic
Musorkgski,Moussorgsky,slavic
Mousorgskiy,Moussorgsky,slavic
Moußorgsky,Moussorgsky,slavic
Manovich,Manovich,slavic
Manovitz,Manovich,slavic
Manovitch,Manovich,slavic
Manovitsch,Manovich,slavic
Yeltsin,Eltsine,slavic
Е́льцин,Eltsine,slavic
Ieltsine,Eltsine,slavic
Eltsine,Eltsine,slavic
Konstantine,Constantin,greek
Constantine,Constantin,greek
Constantin,Constantin,greek
Poutine,Putin,slavic
Putin,Putin,slavic
Diaghilev,Diaghilev,slavic
Diaghileff,Diaghilev,slavic
Diagilef,Diaghilev,slavic
Plushchenko,Plushchenko,slavic
Pluchenko,Plushchenko,slavic
Pluschenko,Plushchenko,slavic
Rusalka,Rusalka,slavic
Roussalka,Rusalka,slavic
Piotr,Peter,greek
Pyotr,Peter,greek
Pjotr,Peter,greek
Peter,Peter,greek
Pierre,Peter,greek
Gagarin,Gagarin,slavic
Gagarine,Gagarin,slavic
Ilich,Illich,slavic
